"incident_id","student_id","date_of_event","date_of_action","incident_type","action_taken","school_id","description"
"431","yo9JHfck","2024-10-17","2024-10-17","altercation","warning","bjh","Description: Student engaged in a verbal altercation in the cafeteria during lunchtime. Student displayed aggressive demeanor and raised voice, causing disruption. School staff intervened promptly."
"432","0cqpIWUb","2024-10-17","2024-10-17","academic dishonesty","warning","bjh","Student was observed sneaking notes into their pencil case during an exam. When confronted, they attempted to dispose of the notes by pretending to blow their nose. Student initially denied wrongdoing but eventually admitted to cheating."
"433","aME5UA8Y","2024-10-17","2024-10-17","altercation","ISS","chs","Altercation in cafeteria during lunch, student was combative and refused to follow staff instructions. Pots and pans were thrown, resulting in chaos. Student showed no remorse for disruption caused. ISS ordered."
"434","6f5RPcNQ","2024-10-17","2024-10-17","academic dishonesty","parent conference","ajh","Student was observed copying answers during a midterm exam. When confronted, they appeared nervous and avoided eye contact. This incident was documented during a morning class. A parent conference is necessary to address the seriousness of the situation."
"435","YQTESUXx","2024-10-17","2024-10-17","dress code","ISS","chs","Student's attire violated policy with excessive piercings, ripped jeans, and inappropriate slogans. Despite multiple warnings, student showed defiance and argued during confrontation. ISS assigned for further review."
"436","Pzt040XG","2024-10-17","2024-10-17","altercation","suspension","ajh","Student engaged in a physical altercation in the cafeteria during lunchtime. Student showed aggressive behavior and refused to comply with staff instructions to stop. Security had to intervene to separate the students involved in the altercation."
"437","4lqClkFA","2024-10-17","2024-10-17","academic dishonesty","suspension","ajh","Student was caught using a smartwatch during a test, accessing answers surreptitiously. Despite repeated warnings, student continued cheating. Displayed nervous and fidgety behavior when confronted. This is a concerning breach of academic integrity that requires further action."
"438","V0zHWFTJ","2024-10-17","2024-10-17","academic dishonesty","suspension","chs","Student caught plagiarizing a research paper. Showed no remorse, even after being confronted with evidence. Tried to argue that using an obscure website as a source wasn't dishonest. Wildly misjudged the severity of the offense."
"439","AYwgFLId","2024-10-18","2024-10-18","altercation","suspension","chs","Altercation in cafeteria during lunch, involving yelling and throwing food. Student appeared agitated and refused to calm down despite staff intervention. Disciplinary action necessary to address violent behavior."
"440","nLBpoqeY","2024-10-18","2024-10-18","altercation","detention","chs","Altercation in cafeteria during lunch, student was combative and refused to cooperate with staff. Poured milkshake on another student's head, causing chaos. Reconvene with further details if needed."
"441","Clko9hlW","2024-10-18","2024-10-18","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article during a pop quiz. Initially denied, then admitted with a shrug. Uneventful except for student's neon green shoelaces and constant pen-clicking."
"442","dkF4GJYv","2024-10-18","2024-10-18","theft","detention","chs","Student was caught stealing multiple packs of gum from the school store during lunchtime. They were acting suspiciously, checking for cameras before taking the items. This behavior is unacceptable and warrants detention."
"443","ne9guiQz","2024-10-18","2024-10-18","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history project. Initially denied it, but later admitted. Showed no remorse. Had printed out the Wikipedia page and attempted to pass it off as own work."
"444","slIDPzlY","2024-10-18","2024-10-18","theft","parent conference","chs","Student caught stealing multiple packs of gum after school from the teacher's lounge. Student's demeanor was nervous, claiming it was a joke. Parent conference ordered to discuss disciplinary action and next steps."
"445","h8X1gDrv","2024-10-18","2024-10-18","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog.-Requested to be excused for a ""bathroom break"" during a pop quiz."
"446","dZxg7ukS","2024-10-18","2024-10-18","bullying","parent conference","chs","Student displayed aggressive behavior during lunch, targeting another student's physical appearance. Witnessed calling names loudly, refusing to stop when told. Conference with parent needed to address severity and prevent future incidents."
"447","Bc3hh7HI","2024-10-18","2024-10-18","dress code","ISS","chs","Student's attire violated policy with excessive piercings, ripped jeans, and a shirt with inappropriate slogan. Despite warnings, student was defiant and argued during confrontation. ISS assigned for continued disrespect."
"448","oWI1065z","2024-10-18","2024-10-18","altercation","suspension","chs","Altercation in cafeteria during lunch, involving yelling and throwing food. Student appeared agitated and uncooperative, ignoring staff instructions. No physical harm reported, but disruption was significant."
"449","D5duWjfi","2024-10-21","2024-10-21","dress code","parent conference","ajh","Student was wearing bright purple cowboy boots, a sparkly tutu, and a baseball cap backward. Defiant when asked to change. Per parent conference ordered."
"450","tZu7CYTo","2024-10-21","2024-10-21","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog. Defiant during confrontation. Assigned ISS for reflection."
"451","rnXKtlZ1","2024-10-21","2024-10-21","altercation","detention","ajh","After an altercation during lunch, student displayed aggressive behavior, raised voices, and refusal to step back. Student also knocked over a chair in anger. Detention is necessary for their actions."
"452","0JVQsud7","2024-10-22","2024-10-22","bullying","parent conference","chs","During lunch, student displayed aggressive behavior towards another student, calling names and making threats. Student showed no remorse and laughed at the other student's distress. This behavior will not be tolerated. A parent conference is necessary to address this serious issue."
"453","prFPbqTx","2024-10-22","2024-10-22","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article during a pop quiz. Tried to debate the definition of ""original work."" Showed no remorse, complained about the WiFi signal during the incident. ISS assigned."
"454","7lxUng5R","2024-10-22","2024-10-22","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history project. Tried to debate the definition of ""plagiarism."" Showed no remorse. Kept muttering excuses and blaming the internet connection. Insisted they were just ""paraphrasing creatively."""
"455","N8FWWFqe","2024-10-22","2024-10-22","dress code","ISS","chs","Student's attire violated policy with excessive piercings, ripped jeans, and inappropriate slogans. Student showed defiance when confronted, leading to ISS. Religious or cultural attire exceptions were not applicable in this case."
"456","zYkUvmmM","2024-10-23","2024-10-23","altercation","suspension","ajh","Afternoon cafeteria altercation involving student. Verbal exchange escalated to physical confrontation, causing disruption. Defiant attitude, refusing to comply with staff instructions. Eyewitnesses reported unusual mannerisms during the incident."
"457","zAplOXbg","2024-10-23","2024-10-23","altercation","warning","bjh","During lunch, student engaged in a verbal altercation in the cafeteria, displaying aggressive behavior and raising their voice. Staff intervened promptly and resolved the situation without physical contact. Student's demeanor was confrontational, but no physical harm was reported."
"458","OIzRdlwo","2024-10-23","2024-10-23","academic dishonesty","warning","ajh","During a surprise check, student was found with cheat sheets inside a sandwich wrapper. Student acted nervous and avoided eye contact. The cheat sheets included formulas and key terms in small print."
"459","97rzjswP","2024-10-23","2024-10-23","dress code","warning","bjh","Student's attire violated dress code by wearing a bright orange hat with a large brim that obstructed vision during class. Student appeared nonchalant when reminded to remove hat. Warning issued."
"460","AbHbdsuI","2024-10-22","2024-10-23","dress code","ISS","chs","Student's attire violated policy with excessive piercings, ripped jeans, and a shirt with inappropriate slogan. Despite warnings, student was defiant and argued during confrontation. ISS assigned for continued disrespect and refusal to comply."
"461","Hn9741oA","2024-10-23","2024-10-23","theft","ISS","chs","Student was caught stealing multiple items from a teacher's desk during lunch break. Despite repeated warnings, they showed no remorse. The severity of the theft and lack of cooperation warranted a punishment of ISS."
"462","jsU333Pa","2024-10-23","2024-10-23","academic dishonesty","parent conference","ajh","Student caught copying answers during a math test. Was highly anxious and fidgety throughout the incident. When confronted, student tried to eat the evidence but was stopped by the teacher. Parent conference required."
"463","HfLDWJdu","2024-10-23","2024-10-23","altercation","detention","ajh","Student engaged in a physical altercation in the cafeteria during lunchtime. Student was highly agitated and used inappropriate language. This behavior is unacceptable and warrants a detention to address and prevent future incidents."
"464","ny37HX4n","2024-10-23","2024-10-23","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article during a pop quiz. Initially denied accusations, but later admitted to copying verbatim. Showed no remorse. Kept muttering excuses and blaming lack of time. Insisted they didn't think it was a big deal."
"465","DtJjhOYj","2024-10-23","2024-10-23","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog. Shifted nervously, avoided eye contact during questioning. Action: ISS assigned."
"466","5aC2ngRZ","2024-10-23","2024-10-23","dress code","detention","chs","Student was in violation of dress code for wearing pajama pants to school. Despite multiple warnings, student was defiant and uncooperative. Detention assigned for failure to comply with the school's policy on appropriate attire."
"467","DtJjhOYj","2024-10-23","2024-10-23","bullying","suspension","chs","Student engaged in repeated name-calling and intimidation towards another student during lunchtime. Student showed no remorse and refused to listen to staff interventions. This behavior included stealing the other student's lunch and throwing their belongings in the trash."
"468","v1vv4upF","2024-10-24","2024-10-24","academic dishonesty","detention","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe for lasagna. Detention required for a wake-up call."
"469","SUfVVEal","2024-10-24","2024-10-24","altercation","detention","ajh","After an incident during lunch, student involved in a verbal altercation escalated to physical shoving. Despite attempts to de-escalate, student continued with aggressive behavior. This behavior is not tolerated in our school community."
"470","XWgj4YhR","2024-10-24","2024-10-24","bullying","parent conference","dhs","Student made repeated disparaging remarks during lunch, causing distress to peers. Student laughed while others looked uncomfortable. Severe disrespect shown during interaction with staff. Parent conference ordered."
"471","TsmSJrdM","2024-10-24","2024-10-24","academic dishonesty","suspension","chs","Student caught plagiarizing an online article for a history essay during second period. Was defensive, claiming ignorance of citation rules. This is their second offense for academic dishonesty this semester."
"472","sGGqTCV6","2024-10-24","2024-10-24","theft","suspension","ajh","Student's theft involved multiple items taken from a teacher's desk during lunch hours. The student was observed acting nervously and avoiding eye contact. The severity of the theft and their attempts to conceal it warranted suspension."
"473","TkfLCzhy","2024-10-24","2024-10-24","bullying","parent conference","chs","During lunch, student was caught shoving another student's books off the table, calling them names in a loud voice. Student showed no remorse and laughed during the incident. Per school policy, parent conference is required."
"474","oEm3HRT6","2024-10-24","2024-10-24","academic dishonesty","parent conference","dhs","Student was caught using a cheat sheet during a morning exam, showing a nonchalant attitude when confronted. The cheat sheet was written in tiny font on the back of a water bottle label. Parent conference required."
"475","2xNttcCw","2024-10-24","2024-10-24","academic dishonesty","ISS","ajh","Student was caught copying answers during a math test. Despite being caught, they showed no remorse and even attempted to conceal their cheating by pretending to be looking for a different pencil. Their demeanor was nonchalant throughout the investigation."
"476","LBbMI3kG","2024-10-24","2024-10-24","theft","ISS","chs","Student was caught stealing multiple items from a teacher's desk during lunch break. Despite repeated warnings, they showed no remorse. Their defiant attitude towards authority is concerning."
"477","YLHnkEol","2024-10-24","2024-10-24","dress code","warning","dhs","Student's attire violated dress code by wearing a bright orange hat with a large feather. Student seemed confused about the policy but was cooperative. Warned about appropriate headwear for school setting."
"478","O0wPOztI","2024-10-25","2024-10-25","dress code","warning","dhs","Student's attire violated dress code: Spaghetti straps paired with boxer shorts, mismatched socks. Displayed indifference when reminded of rules, causing minor disruption during early morning assembly. Warning issued."
"479","v1Asl9jm","2024-10-25","2024-10-25","bullying","ISS","ajh","Student engaged in persistent verbal bullying during lunch break, targeting another student's physical appearance. Showed defiance when confronted, raising voice and refusing to make eye contact. Witness reported their lunch resembling a tower of onion rings."
"480","ZIbpk6P1","2024-10-25","2024-10-25","altercation","ISS","chs","Altercation in cafeteria during lunch, involving yelling and throwing food. Student appeared agitated and uncooperative, ignoring staff instructions. No physical harm reported, but disruption was severe. ISS assigned for their behavior."
"481","FvqEHAGO","2024-10-25","2024-10-25","altercation","detention","ajh","Student engaged in a physical altercation in the cafeteria during lunchtime. Student was highly agitated and used inappropriate language. This behavior is unacceptable and warrants a detention to address and prevent future incidents."
"482","hVHYKB5q","2024-10-25","2024-10-25","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history project. Tried to pass off outdated facts as their own research. Showed no remorse or understanding of the severity of their actions."
"483","kGt9Z6Jn","2024-10-25","2024-10-25","altercation","warning","dhs","Description: Student engaged in a verbal altercation during lunch break, displaying aggressive behavior and using profane language. Incident involved food being thrown across the cafeteria causing disruption. Student's refusal to calm down prompted intervention by staff."
"484","ZivFRjxh","2024-10-25","2024-10-25","theft","suspension","chs","Student was caught stealing multiple packs of gum from the school store during lunchtime. Despite being confronted, student showed no remorse and even attempted to lie about the theft. Video footage clearly captures the incident."
"485","n2mB8beP","2024-10-25","2024-10-25","dress code","suspension","chs","Student was in violation of dress code wearing inappropriate attire - a spaghetti strap tank top and ripped jeans. Despite multiple warnings, student was defiant and argued about the rules. Per school policy and severity of defiance, suspension is warranted."
"486","hp1WmhSy","2024-10-28","2024-10-28","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history project. Initially denied accusations, but later admitted after being presented with concrete evidence. Showed no remorse or understanding of the severity of their actions."
"487","437rWZHY","2024-10-28","2024-10-28","altercation","suspension","chs","Altercation in cafeteria during lunch, student displayed aggressive behavior, threw milk carton across room, resulting in chaos among peers. Staff intervened, student refused to calm down. Suspension warranted for safety and discipline."
"488","r0zGlq1t","2024-10-28","2024-10-28","academic dishonesty","ISS","bjh","Student was observed sneaking notes into their pencil case during a midterm exam. When confronted, student appeared nervous but eventually admitted to cheating. Notes were written in blue ink on yellow paper, a stark contrast to the exam's black and white pages."
"489","TK2L7X44","2024-10-28","2024-10-28","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed ignorance. Used obscure sources including a recipe blog. Defiant during confrontation. Requires isolation until attitude improves and understands consequences of cheating."
"490","aNvxohd8","2024-10-29","2024-10-29","dress code","ISS","chs","Student wore pajama pants with cartoon characters to school. Despite multiple warnings, student was defiant and refused to change. Displayed a disrespectful attitude during confrontation. ISS ordered for repeated dress code violations."
"491","eZ8cT4IH","2024-10-29","2024-10-29","altercation","parent conference","dhs","Student involved in lunchroom altercation, displaying aggressive demeanor. Witnesses reported throwing food, resulting in chaos. Perplexing detail: student claimed food fight was ""artistic expression."" Parent conference ordered."
"492","X5TY6ZgY","2024-10-29","2024-10-29","academic dishonesty","parent conference","dhs","Student was caught using a cheat sheet during a morning exam, showing a nervous demeanor when confronted. This is a serious breach of academic integrity that we need to address together in a parent conference."
"493","0PflmoQs","2024-10-29","2024-10-29","altercation","ISS","dhs","Description: Student engaged in a physical altercation in the cafeteria during lunchtime. Student displayed aggressive behavior and refused to comply with staff instructions. Food items were thrown before staff intervention."
"494","C93iZ3ZL","2024-10-28","2024-10-29","academic dishonesty","ISS","ajh","Student was caught using a smartwatch to access answers during a history exam. Initially cooperative but became defensive when questioned further. Severe breach of academic integrity. School rules explicitly prohibit high-tech cheating devices."
"495","QRNpUXwt","2024-10-29","2024-10-29","altercation","ISS","dhs","Student involved in heated debate during lunch, escalating to physical contact. Restraint needed to separate them. Displayed aggressive behavior, shouting in front of peers. This behavior is concerning and requires intervention."
"496","iB50Po9n","2024-10-29","2024-10-29","academic dishonesty","warning","chs","Student caught plagiarizing an essay during English class. Showed no remorse, tried to argue it wasn't cheating. Started sweating profusely when confronted."
"497","wwX9KOAP","2024-10-30","2024-10-30","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history project. Initially denied wrongdoing, but later admitted under pressure. Showed no remorse during confrontation. Kept glancing nervously at a taped-up sneaker in the corner."
"498","rInkPBAv","2024-10-30","2024-10-30","altercation","ISS","chs","Altercation in cafeteria during lunch, involving yelling and throwing food. Student appeared agitated and uncooperative, ignoring staff instructions. No physical harm reported, but disruption was severe."
"499","P9AtRou5","2024-10-29","2024-10-30","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history project. Initially denied accusations, but later admitted. Showed no remorse. Had printed out the Wikipedia page and attempted to pass it off as own work."
"500","2fxFGRuo","2024-10-30","2024-10-30","dress code","ISS","chs","Student's attire violated policy with excessive piercings, a hat indoors, and neon shoelaces. Despite warnings, student was defiant and argued during confrontation. ISS assigned for continued disrespect."
"501","N9lDGVn9","2024-10-30","2024-10-30","dress code","parent conference","chs","Student was observed wearing a hat with flashing lights during school hours. Student's refusal to comply with staff instructions and disrespectful attitude towards authority led to the issuance of a dress code violation and the requirement of a parent conference."
"502","MWJYvmjS","2024-10-30","2024-10-30","altercation","ISS","chs","Altercation in cafeteria during lunch, student was combative and refused to cooperate with staff. Pots and pans were thrown, resulting in chaos. Student finally restrained by security. ISS recommended for safety of all."
"503","TxWbT4IK","2024-10-29","2024-10-30","disruption","suspension","ajh","Student loudly played a trombone in the cafeteria during lunch, causing chaos. Ignored staff requests to stop, continued with a mischievous smirk. Displayed blatant disrespect and disrupted the entire area."
"504","zv1fdNul","2024-10-30","2024-10-30","theft","suspension","ajh","Student caught stealing multiple items from school cafeteria during lunch hours. Student attempted to hide items in backpack and showed defiance towards staff when confronted. Security footage confirmed the incident."
"505","DgWLf4KO","2024-10-30","2024-10-30","bullying","suspension","chs","Student engaged in repeated name-calling and physical intimidation towards peers during lunchtime. Student showed no remorse and refused to cooperate during investigation. This behavior violates our zero-tolerance policy for bullying."
"506","TSuOkwTB","2024-10-31","2024-10-31","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed the dog ate their homework. ISS assigned due to blatant cheating and lack of accountability."
"507","HquMjZvQ","2024-10-31","2024-10-31","bullying","warning","dhs","Student engaged in repeated verbal taunts, mimicking classmates' mannerisms. Behavior occurred during lunch, affecting atmosphere of cafeteria. Student seemed gleeful while others were visibly uncomfortable. Incident was observed by multiple staff members. Warning issued for future behavior, counseling recommended."
"508","PuwHsYes","2024-10-31","2024-10-31","dress code","warning","dhs","Student's attire violated dress code: Spiked heels deemed hazardous. Student initially defiant but eventually cooperative, adjusting outfit. Reminder issued regarding appropriate footwear during school hours to ensure safety."
"509","9oekQceA","2024-10-31","2024-10-31","dress code","warning","bjh","Student's attire included highly distracting accessories, exceeding the school's guidelines. Despite gentle reminders, student's demeanor appeared indifferent. School rules explicitly specify clothing constraints to maintain a focused environment for all."
"510","vSAVsAUO","2024-10-31","2024-10-31","academic dishonesty","parent conference","chs","Student caught plagiarizing material from an unknown source during a timed assessment. Was highly defensive and attempted to shift blame onto classmates. Showed no remorse or understanding of the severity of their actions. Parent conference needed to address behavior."
"511","j0rnf8mx","2024-10-31","2024-10-31","altercation","suspension","chs","Altercation in cafeteria during lunch, involving yelling and throwing food. Student appeared agitated and refused to calm down despite staff intervention. Disciplinary action necessary to address violent behavior."
"512","9qZoHpLy","2024-10-31","2024-10-31","altercation","warning","bjh","Description: Student engaged in a verbal altercation in the cafeteria during lunchtime. Student displayed aggressive demeanor and raised voice, causing disruption. School staff intervened promptly."
"513","SYR35tcw","2024-10-31","2024-10-31","academic dishonesty","ISS","chs","Student caught plagiarizing a research paper. Showed no remorse, claimed work was original. Tried to defend by saying ""but everyone does it."" Blatant disregard for academic integrity. ISS is necessary."
"514","ClSCmNf1","2024-10-31","2024-10-31","academic dishonesty","ISS","chs","Student was caught plagiarizing material from an unknown source during a timed assessment. Despite initial denial, student became visibly nervous and admitted to cheating. A detailed comparison revealed striking similarities and blatant disregard for academic integrity."
"515","ByGV5gP6","2024-10-31","2024-10-31","academic dishonesty","suspension","ajh","Student was caught using a smartwatch during a test, accessing answers surreptitiously. Despite repeated warnings, student continued cheating. Displayed indifference and disbelief when confronted, claiming innocence despite overwhelming evidence."
"516","XFKiR6bC","2024-10-31","2024-10-31","theft","suspension","ajh","Student was observed taking items from multiple lockers during school hours. Student showed nervous behavior and attempted to conceal stolen items in a backpack. Security footage confirmed the incident."
"517","2Ikbg2BJ","2024-10-31","2024-10-31","academic dishonesty","warning","chs","Student caught plagiarizing an essay on the history of haunted houses. Denies wrongdoing but had a suspiciously detailed knowledge of 19th-century ghost stories. Displayed a nonchalant attitude during interrogation."
"518","ojwNeDAE","2024-11-01","2024-11-01","bullying","parent conference","chs","During class, student loudly mocked a peer's appearance, calling them names in front of the whole class. Student showed no remorse and even laughed during my intervention. Parent conference is necessary to address their behavior."
"519","31f2G19M","2024-11-01","2024-11-01","dress code","detention","chs","Student's attire violated policy with excessive piercings, ripped jeans, and a shirt with inappropriate slogan. Despite warnings, student remained defiant and argued during confrontation. Detention assigned for disrespect and repeated infractions."
"520","7fm1cEQo","2024-11-01","2024-11-01","bullying","warning","dhs","Description: Student engaged in repeated verbal intimidation during lunch break, mocking peer's appearance and social status. Student's demeanor appeared gleeful during the incidents. Witnesses report escalating severity, with odd mentions of peer's belongings. Warning issued."
"521","k4zJicBk","2024-11-01","2024-11-01","theft","parent conference","ajh","""Student was caught stealing multiple items from the school cafeteria during lunch hours. Showed no remorse when confronted, claiming items were theirs. Parent conference requested to address behavior and consequences."""
"522","hDgTGnbx","2024-11-01","2024-11-01","altercation","detention","ajh","Afternoon cafeteria altercation involving yelling, pushing, and thrown items. Student showed aggressive demeanor and refused to calm down despite staff intervention. This behavior is a concern for the safety of others in the school environment."
"523","dRDd5ldB","2024-11-01","2024-11-01","dress code","parent conference","chs","Student was in violation of dress code wearing pajama pants and slippers. Student was defiant, arguing that it was more comfortable. Parent conference required to address dress code expectations."
"524","0K1DU2mT","2024-11-01","2024-11-01","altercation","detention","chs","Student was involved in a verbal altercation in the cafeteria during lunch. Student was confrontational and used inappropriate language. Tried to defend actions by claiming misunderstanding about seating arrangements."
"525","iqHIzbbm","2024-10-31","2024-11-01","altercation","ISS","chs","Altercation in cafeteria during lunch. Student was loud and aggressive, knocking over trays and shouting profanities. Tried to flip table but was restrained by staff.escalation was swift and disruptive."
"526","nAl8jUcv","2024-11-04","2024-11-04","altercation","suspension","chs","Altercation in cafeteria during lunch, student was combative and refused to cooperate with staff. Pots and pans were thrown, resulting in chaos. Police were called to intervene."
"527","jawwYwA9","2024-11-04","2024-11-04","dress code","detention","chs","Detention issued for dress code violation: Student wearing pajama pants in class. Reminded of dress code multiple times. Persisted with disrespectful attitude. Attendance required at detention to review and sign dress code policy."
"528","ZFABkhhQ","2024-11-04","2024-11-04","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history project. Initially denied accusations, but later admitted after evidence presented. Showed no remorse or understanding of wrongdoing, even when faced with consequences. Suggested ISS to reflect on actions."
"529","D49tAuZT","2024-11-03","2024-11-04","theft","warning","chs","Student was caught stealing multiple packs of gum from the school store during lunchtime. They were acting suspiciously, checking for cameras before taking the items. Their nonchalant demeanor raised suspicions among staff members."
"530","scU6s4q3","2024-11-04","2024-11-04","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history project. Tried to pass off outdated facts as their own. Showed no remorse, even after shown evidence. Seemed oddly confident during questioning, like they didn't expect consequences."
"531","WnPEuiwl","2024-11-04","2024-11-04","dress code","warning","dhs","Student's attire violated dress code by wearing a bright orange hat with a large feather. Student seemed confused about the violation but was cooperative during discussion. Warning issued to ensure adherence to school dress code standards."
"532","b0P6joQU","2024-11-04","2024-11-04","academic dishonesty","detention","bjh","Student was observed copying verbatim from a hidden cheat sheet during a surprise quiz. Despite attempts to conceal actions, student appeared nervous and avoided eye contact when questioned. This breach of academic integrity is taken seriously and requires detention to address."
"533","RDesx2ke","2024-11-04","2024-11-04","bullying","ISS","chs","Student engaged in repeated name-calling and intimidation towards another student during lunch, escalating to physical shoving. Showed no remorse or willingness to stop despite warnings. A disturbing display of aggression and disrespect."
"534","luLKhR1m","2024-11-04","2024-11-04","bullying","detention","chs","Student engaged in repeated name-calling and intimidation towards another student during lunch, escalating to physical shoving. Showed no remorse and attempted to gather an audience during the incident. Displayed a defiant attitude when confronted."
"535","BqgocOKp","2024-11-04","2024-11-04","altercation","parent conference","bjh","Student involved in lunchroom altercation, displaying aggressive demeanor. Incident occurred during lunch period, resulting in minor physical contact. Student refused to comply with staff directions before being escorted out. Parent conference ordered to discuss behavior and consequences."
"536","tQPtodSf","2024-11-04","2024-11-04","theft","parent conference","chs","Student caught stealing multiple packs of gum after school from the teacher's lounge. Student's demeanor was nervous, claiming it was a joke. This behavior will not be tolerated. Parent conference is ordered."
"537","qYSC4Tj8","2024-11-04","2024-11-04","dress code","parent conference","ajh","The student was found in violation of the dress code for wearing highly distracting oversized sunglasses indoors during school hours. The student's demeanor was defensive when reminded of the rule. Parent conference is ordered to address the importance of appropriate school attire."
"538","pitPo21w","2024-11-04","2024-11-04","theft","parent conference","ajh","""Student was caught stealing multiple items from the school cafeteria during lunch hours. Showed no remorse when confronted, claiming items were theirs. Parent conference requested to address behavior and consequences."""
"539","laBn3XpR","2024-11-04","2024-11-04","academic dishonesty","suspension","chs","Student caught plagiarizing a research paper. Showed no remorse, even after being confronted with evidence. Tried to pass off copied work as their own. Lack of effort evident in their sloppy attempt to cover it up."
"540","SpNqH9lY","2024-11-05","2024-11-05","dress code","warning","chs","Student received a warning for violating dress code during afternoon classes. Attire was deemed too casual, with oversized sunglasses worn indoors. Student seemed indifferent to protocol."
"541","sQzmsW1K","2024-11-04","2024-11-05","academic dishonesty","detention","ajh","Student was caught copying answers during a math test. Despite initial denial, student became visibly nervous during questioning. This is their second offense this school year and their overall attitude towards academic integrity seems nonchalant."
"542","7OoTQan9","2024-11-05","2024-11-05","bullying","ISS","chs","Student engaged in repeated name-calling and intimidation towards another student during lunchtime. Student showed no remorse and refused to acknowledge the impact of their actions. This behavior is unacceptable and warrants disciplinary action."
"543","i2q95UhX","2024-11-05","2024-11-05","bullying","ISS","chs","Student engaged in repeated name-calling and intimidation towards another student during lunchtime. Student showed no remorse and refused to acknowledge the impact of their actions. This behavior is unacceptable and warrants disciplinary action."
"544","0ovLz4LD","2024-11-05","2024-11-05","academic dishonesty","ISS","ajh","Student was caught copying answers during a math test. When confronted, student initially denied wrongdoing but later admitted under pressure. The cheating was blatant, with identical incorrect answers in a suspiciously organized manner."
"545","jBHMlqTX","2024-11-05","2024-11-05","bullying","warning","ajh","Student engaged in persistent name-calling during lunch, targeting another student's physical appearance. Showed defiance when confronted, claiming it was a ""joke."" Refused to apologize initially but eventually did so insincerely."
"546","wtqTSZBG","2024-11-04","2024-11-05","academic dishonesty","parent conference","dhs","Student was caught using a cheat sheet hidden inside a calculator during a morning exam. Displayed nervous behavior when questioned, initially denying wrongdoing before admitting to cheating. Parent conference ordered to discuss consequences and prevent future incidents."
"547","8F5NXk38","2024-11-05","2024-11-05","altercation","detention","bjh","During lunch, student engaged in a verbal altercation in the cafeteria, becoming increasingly agitated. The argument escalated to a minor physical confrontation involving a spilled drink. Both students were separated by staff."
"548","x7SynxeA","2024-11-05","2024-11-05","altercation","suspension","chs","Altercation in cafeteria during lunch, student was combative and threw food trays at another student. Refused to follow staff instructions and attempted to leave campus before being escorted to office. Severe disrespect and aggression displayed."
"549","wsKPYKSq","2024-11-05","2024-11-05","academic dishonesty","suspension","ajh","Student was caught using a smartwatch during a test, accessing answers surreptitiously. Despite repeated warnings, student continued cheating. Displayed nervous behavior when confronted, initially denying wrongdoing before admitting to using unauthorized resources during the exam."
"550","m8c7jUZs","2024-11-05","2024-11-05","academic dishonesty","parent conference","ajh","Student was observed copying answers during a midterm exam. When confronted, they appeared nervous and avoided eye contact. This is a serious violation of academic integrity policies that we take very seriously. A parent conference has been scheduled to discuss this matter further."
"551","lLm4RbJf","2024-11-06","2024-11-06","academic dishonesty","ISS","chs","Student caught plagiarizing a Wikipedia article for a history project. Initially denied accusations, but later admitted. Showed no remorse. Had printed out the Wikipedia page and attempted to pass it off as own work."
"552","AZmnSIOe","2024-11-05","2024-11-06","bullying","suspension","ajh","Student engaged in persistent verbal bullying during lunch break, targeting another student's physical appearance. Showed defiance when confronted, raising voice and refusing to apologize. Incident witnessed by multiple students."
"553","4GFsLplx","2024-11-06","2024-11-06","disruption","suspension","chs","Student disrupted class by loudly playing the clarinet during a math lesson. Ignored repeated warnings and continued to play ""Row, Row, Row Your Boat"" off-key. Refused to stop until music teacher intervened."
"554","9WgWCWGO","2024-11-06","2024-11-06","dress code","warning","chs","Student's attire violated policy with excessive piercings, ripped jeans, and oversized hoodie. Repeated warnings given due to defiance and eye-rolling during confrontation. Addressed during morning assembly."
