"Description","Specialties","Industries","Ownership"
"Expent, Inc. is a developer of a vendor lifecycle management platform designed to make software procurement easier. The company's platform continually monitors the performance of the different vendors, discovers various software solutions and offers, and provides personalized recommendations, enabling enterprises to gain central visibility into the applications being used and make faster buying decisions.","Procurement, Vendor Management, Lifecycle Management, RFP, Continuous Vendor Assessment, Software Selection, Software Evaluation, NLP, ML, AI","Computer Software, Internet","Seed"
"Paylocity Holding Corp. provides cloud-based payroll and human capital management (HCM) software solutions for medium-sized organizations. The company offers paylocity web pay for enterprise-grade payroll processing and administration, Paylocity Web HR for employee record management, and HR compliance and reporting; talent management for employee performance appraisal process and performance review.","Human Resources, Human Capital Management, HRIS, Payroll, Tax Services, HR Compliance, HR Data Analytics, Talent Acquisition, Retention, Employee Engagement, Workforce Planning, Onboarding, Employee Training, Learning, Performance Management, Employee Scheduling, HR Management, SaaS Business Software, Salary Planning, Budgeting, Benefits Administration, HR Technology Solutions, Time, Attendance, PEO, Payment Solutions, VidGrid, Work From Anywhere, Development, Employee Recognition, Mobile HR, HR Tech, Video Learning, On Demand Payment, Expense Management","Internet","Public"
"Miles Software Solutions Pvt., Ltd. designs and develops technology solutions for private banking institutions, asset and wealth management companies, brokerage firms, wealth advisors, financial institutions, family offices, non-banking financial institutions, foreign institutional investors and hedge funds, mutual funds, corporate houses and trusts, and individuals primarily in the Asia Pacific, the Middle East, Africa, and Europe. The company provides MoneyWare, a product suite that comprises Fundware, an asset management solution for the front office, middle office, and back-office automation; Vantage, a cross-product collateral management solution; Custody, a solution that provides support in various areas of custody operations, including instruction management, securities lending, and trade settlement; and business analytics and reporting services.","Wealth Management, Portfolio Management, Asset Management, Family Office Management, Financial Planning, Trade Order Management, Revenue and Incentive Management, Business Analytics, Reporting Services, Managed Services, Lending Solutions, Custody Solutions","Computer Software, Internet, Information Technology & Services, Investment Banking","Public Sub"
"Enterprise Integration, Inc. (EII) wrote the book on the implementation of complex standard software solutions using Enterprise Architecture. It provides executable consulting solutions to clients, using an innovative and non-conflicted approach, with a focus on Extended Enterprise Integration enabled by packaged software solutions.","Business Process Management (BPM), InfoSphere, DataStage, QualityStage, Enterprise Architecture, Enterprise Resource Planning (ERP), Oracle, SAP, Data Management, Governance, Data Quality, Integration","Computer Software, Information Technology & Services","Private"
"Advanced Business Software, Inc. is a Californian software developer that develops a fully-integrated distribution suite for small-to-medium enterprises. The company states that its solutions address the most important aspects of effective distribution: inventory, customers, accounts receivable; cash, employees, and time.","Software, Enterprise Software, Network Solutions","Computer Software, Internet","Private"
"AestheticsPro, Inc. provides cutting-edge, web-based medical spa software for the aesthetic industry. It is an online software solution, so owners, managers, and practitioners can see how the business is performing in real-time.","Electronic Medical Aesthetic Records, Practice Management, Web Based Software, Staff Managment, Accounting Suite, Marketing Suite (CRM), Payroll, Electronic photos, Calendar Suite, POS Suite, Merchant Services, Client Management, Client Portal Functionality, Reporting, Automated Follow-Up, Automated Appointment Reminders, SMS, Aesthetic Medical Software, MedSpa Software, service management, EHR","Computer Software, Internet","Private"
"Inroads, LLC is a software development company. The company's core technology is AxiumPro, a powerful omnichannel enterprise business suite. It is a fully integrated and customizable business solution built to manage and run small to mid-size businesses with seamless data integration.","Software, Web Development, Enterprise Software, Intelligent Data, Seamless Data integration, SaaS, Blockchain, ERP, CRM","Computer Software, Information Technology & Services","Private"
"Pivotal Dimension Pvt., Ltd. is a computer software company that focused on delivering end-to-end EMM solutions using the Unica enterprise product suite. The company also provides expert product, technology, and marketing leadership, best practices, and end-to-end optimized technology solutions to maximize software investments.","Interactive Marketing, Inbound Marketing, Email Marketing, Event-Based Marketing, Real-Time Marketing","Computer Software, Internet","Private"
"AIS Maritime Solution Singapore Pte., Ltd. is a Japanese leading software provider for the enterprise resource planning (ERP) suite. It is a proven system that handles all aspects of maritime transactions to ensure seamless accounting processes within shipping businesses.","Maritime","Computer Software, Internet","Private"
"Qtec Solution, Ltd. is a custom software development, UI/UX design, and mobile application development company for enterprises. It provides all kinds of enterprise software solutions, e-commerce, delivery management systems, business management, and learning applications.","remote team, software development, python development, django development team, flutter remote team, remote it team, remote software team","Computer Software","Private"
"GS Topco GP, LLC doing business as Insightsoftware.com, Inc. is a provider of financial reporting and enterprise performance management software. It offers a range of solutions that has helped organizations and enterprises worldwide solve some of its complex business challenges. It also enables the office of the CFO to connect to and make sense of its data in real time so it can proactively drive greater financial intelligence across its organization.","Financial Reporting, Budgeting, Planning, Business Analytics, Real-Time Reporting, Financial Close, Consolidation, Tax Provisioning, Transfer Pricing, Enterprise Performance Management, Microsoft Excel, Oracle, SAP, JD Edwards, Microsoft Dynamics, Viewpoint, MRI Software, Deltek, Epicor, NetSuite","Computer Software","Private Equity"
"Anand PAG, Inc. provides process optimization software products and services to SAP enterprise customers. Its products and solutions include Process Factory, an add-on solution that integrates into the SAP system landscape and its provides a workflow infrastructure that enables business owners to jump-start process optimization, Business Rules Factory, a framework for implementing business rules in the SAP business suite, and business solution suite, including procure to pay, document management, master data administration, and order to cash process optimization solutions.","SAP, BPM, Workflow, Services, Products, Human Capital Management (HCM), Enterprise Regulatory Compliance (ERC)","Computer Software","Private"
"Fact Informationssysteme & Consulting GmbH is a provider of consulting services and software, FACT supplies high-quality industry-specific investment management solutions. It is a leading supplier of software solutions with extensive services for the entire investment process.","Investment Management, Financial Software, Portfolio Management, Accounting, Reporting, Risk Management, Taxation of Investment Funds, Interfaces, Disclosure Management, Solvency Ii","Computer Software, Internet, Information Technology & Services, Information Services","Private Sub"
"Cybage Software Pvt., Ltd. is a software engineering and technology consulting company. It offers product development services, such as software development, software re-engineering, software maintenance, quality assurance, and enterprise business solutions in the areas of application development and maintenance, enterprise portals, service-oriented architecture, Web services implementation and management information systems, and data analytics. It provides products and services around the globe.","IT Services, Offshore Software Development, Media & Advertising, Travel and Hospitality, Retail & Distribution, E-commerce, CRM, Enterprise Content Management, SCM, Business Intelligence, Enterprise Mobility, Travel & Hospitality, Digital Retail, Supply Chain Management, Technology, Digital Solutions, Health Care & Life Sciences, Product Engineering, Testing & QA, Architectural Services, Application Product Development, Content Services, UX Design, Support Services","Computer Software","Private"
"Databox, Inc. is a cloud-based business analytics platform to monitor, analyze, and manage performance. The company offers KPI and metric tracking, business goal tracking, dashboard reporting, dashboard design tools, data calculations, report automation tools, and more. It caters to agencies, SaaS companies, and e-commerce companies.","Mobile, Business Intelligence, Business Analytics, Analytics, Data, SaaS, Business KPI, Dashboard software, Metric tracking, Goal tracking, Business intelligence","Information Services","Seed"
"Primotech, LLC is an IT Global Solutions company that provides software development and IT projects to small and medium-sized businesses. The company delivers software development and IT projects from several big enterprises to small and medium-sized businesses. It blends agile methodologies with technical expertise to take the business to the next level.","Mobile App Development, Website Development, Digital Marketing, UI, UX Design, IT Consulting, eCommerce Solutions, Online Reputation Management, Graphic Designing, Enterprise Technology & Start-up Consultancy, Business Analysis, Product Development, Rapid Prototyping, MVP, WordPress, REACT, NODEJS, MongoDB, MEAN, MERN","Computer Software, Information Technology & Services, Internet, Graphic Design, Management Consulting","Private"
"Inexcon Technologies, Inc. doing business as Ekhosoft, Inc. is a software development company providing leading performance management solutions for industrial customers. It provides operational management and intelligent software solutions. The company offers mobile inspection tours, manufacturing execution, electronic logs, KPI management, and root cause analysis services.","Real-Time Operational Intelligence Software, Operational Performance Management Software, Software for Continuous Performance Improvement, Wind Farm Management Information System, Operational Business Intelligence","Computer Software","Private Sub"
"Petz Enterprises, LLC provides tax preparation and filing software solutions and services for professional and consumer markets, helping to automate and simplify federal, state, and local tax. The company offers CrossLink, a suite of professional tax software solutions and a set of desktop and online solutions; Taxbrain.com, an online tax preparation solution for consumers; and compliance solutions to the accounting, and tax industry.","Consulting, Financial Services, Information Technology","Computer Software, Internet, Information Technology & Services","Private"
"Advance Management Services, LLC doing business as Advanced Metrics, LLC provides the development of agile software platforms capable of being customized to enhance the data entry and dashboard reporting experience. The company offers advanced metrics software that is designed to analyze data at the individual.","Behavioral and Physical Health, Population Health Management - Integrated Care, Community Health, Maternal and Early Childhood Home Visiting, Software Solutions, Software Training & Implementation, Business Continuity Software, Employee Health Management, Data Analytics, Case Management, Vaccine Tracking, Home Visiting","Computer Software, Internet","Private"
"Atiim, Inc. develops cloud-based performance management software solutions. The company's products include Atiim Pulse OKR which is an integrated 2-in-1 enterprise OKR goals management and ongoing performance management software solution that offers a 2-way closed-loop feedback system with lightweight check-ins and Atiim Pulse which is a real-time, 2-way closed-loop feedback software for ongoing performance management.","saas, okrs, objectives, key results, enterprise goals management, performance management, computerhardware, software, computer hardware development","Information Technology & Services","Private Sub"
"O3 Insights, Inc. is a developer of project management software designed to manage capital assets for industrial construction. The company's software combines real-time indicators that track impact outcomes, analyze data on assets to generate reports, and measure installation performance using a project scorecard and an integrated dashboard.","AWP Program Management, Advanced Work Packaging, Construction Technology, Industrial Construction, WorkFace Planning, AWP Education, agile project management, construction project management, industrial construction technology, construction technology, construction saas software, time on tools, tool time, awp, wfp","Computer Software","Private"
"Knoa Software, Inc. provides user experience and performance management software solutions. The company offers on-premise and cloud-based solutions that monitor, measure, and manage how end-users are utilizing enterprise applications to optimize the end-user experience, enhance user performance, and deliver a return on investments.","User Experience Management, SAP Solution Extension Partner, Enterprise Application Performance, Workforce Optimization, Real-Time Analytics, SAP, Oracle, UEM, Oracle Cloud, SAP S/4HANA, Task Mining, RPA, HelpDesk, Cloud Migration","Information Technology & Services","Venture Capital"
"Time Study, Inc. develops web and mobile-based application software that provides enterprise solutions. The company's software solutions for business insights and tools for collecting and reporting time.","Software Development","Computer Software, Internet","Venture Capital"
"Formula, Inc. was formed to refine and market the first enterprise and sales engine software suite for the payments industry. It is a fully-automated and integrated enterprise management and business intelligence platform, Formula will help industry players worldwide re-position when needed, grow and succeed beyond current limitations.","banking","Internet, Computer Software","Private"
"eRPortal Software, Inc., provides high performance, web-enabled, Enterprise Asset Management, Maintenance Management, and Materials Tracking software solutions, for managing strategic assets, and operations. The company's software applications have been developed with an architecture that provides its users with a solution that delivers ease of use and flexibility to accommodate any work process requirements.","central stores warehouse and distribution management, cmms, condition-based maintenance, enterprise asset management, hazardous materials tracking, internet and software, maintenance management, scientific materials mangement, tool crib management, tool management","Computer Software","Private"
"United Planet GmbH doing business as Intrexx develops and offers portal and social business software. It provides enterprise portals, web and mobile applications, and Intranet and extranet solutions. The company offers Intrexx, enterprise portal and integration software that acts as a development and management environment for online applications.","application development, assetmanagement, business process management, business software, collaboration, databases, development, enterprise portals, extranet, information technology, intranet, intrexx, intrexx share, investmentbanking, it software, low-code development platforms, m-files integration, odata, rapid application development (rad), sap integration, social intranet, third party data integration, web services, web-based applications","Internet, Information Technology & Services","Private"
"Aprimerose Pte., Ltd. is a Software suite for Institutional Investors and Investment Professionals. It provides bespoke solutions for relationship management, reporting, and auditing.","private equity, accredited investor, investment professional, software suite","Computer Software, Information Technology & Services, Internet","Private"
"Metier Technologies is one of the best ERP Software Companies. It is the solution provider and manages sales and implementation services of Agile ERP (Web-Based) & iXpert ERP (Window-Based) software solutions to enterprises.","Software Development, IT Services and IT Consulting","Computer Software, Internet","Private"
"YESU IT Solution is a software development company that creates tailored solutions by applying modern design principles, in conjunction with the cloud, mobile and desktop technologies. It offers enterprise software development, web application development, mobile application development, business technology consulting and UI/UX services.","Web Development, Native App Development, DevOps, Managed Hosting, Enterprise Software, Business Technology Consulting, Ui Or Ux, Develop, UiUX","Computer Software, Internet, Graphic Design","Private"
"Nova Praxis Soluciones de Negocio S.L. is a consulting company specializing in Business Intelligence and Performance Management. It is a technology consultancy specializing in integrated solutions for the Management of Business Performance (EPM) and Business Intelligence (BI) and Experts in the Implementation of Methodologies and Tools for improving business performance.","Business Intelligence, Consulting","Management Consulting","Private"
"Palamedia, Ltd. doing business as AlignAlytics provides software-enabled services. It offers insight services for numerous classes, as well as client analytics, client service, government management, finance, governance, risk and compliance, human resource, data technology, marketing, operations, development, and sales, and provides chain; performance driver services; roadmap services; and analytic solutions within the areas of revenue management, expense management, and quality management.","Business Analytics, Performance Management, Risk Management, IT Strategy, Business Intelligence","Computer Software","Venture Capital"
"Groupe Rivalis SA offers support for small and medium-sized enterprise management. The company develops and markets business solution package software.","Business Services, Management Consulting","Computer Software, Internet","Public"
"ProStar Software, Inc. is an enterprise integration company providing a customizable suite of mobile and desktop applications to configure business systems, enabling customers to simplify existing processes and maximize efficiency. It offers affordable, cutting-edge solutions for small and mid-sized companies that are underserved by the large enterprise software providers.","business process management (bpm), data unification, customization tools (sdk), mobile for business, erp, enterprisesoftware&networksolutions, enterprisesoftware, networksolutions, enterprise software, network solutions","Information Technology & Services","Private"
"Property Suite Pty., Ltd. is a complete real estate management software toolset. It provides the complete solution that integrates relationship management, media, and marketing management, and transaction & financial management.","Information Technology & Services","Computer Software, Internet","Private"
"River Logic, Inc. develops enterprise planning and optimization software solutions. It offers Prescriptive Planning and Performance Management Platform, a SaaS solution that enables prescriptive planning, business intelligence, advanced scenario analysis, data management, end-to-end planning, and business-wide collaboration.","prescriptive modeling, analysis, integrated business planning, hospital performance management, supply chain planning, customer profitability, corporate performance management, product profitability, business modeling, prescriptive analytics, optimization, business planning, decision support, advanced analytics, predictive analytics","Information Technology & Services","Venture Capital"
"Delbridge Solutions, Inc. provides management and implementation consulting services in the area of Corporate Performance Management (CPM) which includes Budgeting, Forecasting, Consolidations, and Reporting solutions. It partner with software vendors such as CCH Tagetik, Vena, IBM, Oracle, Prophix, and Adaptive Insights, it is uniquely positioned to help clients select and implement the right solution for the requirements.","Corporate Performance Management, Incentive Compensation Management, Sales Profitability Management, Financial Reporting, Sales Performance Management, Business Advisory Services, ASC 606, Budgeting, IFRS, CCAR, Dashboarding, Forecasting, Business Intelligence, MongoDB, OneStream","Computer Software, Information Services, Management Consulting","Private"
"La Meer, Inc. is a premier software vendor that specializes in offering web-based risk management solutions for banks and capital markets. The company offers the GRACE suite of solutions that are built on Oracle Technology and allow organizations to achieve scalable, reliable, and secure infrastructure for risk management needs.","Risk Management, Enterprise Risk, Operational Risk, Operational Due Diligence, Hedge funds, Fund of Hedge funds, Pensions, Endowments, Broker, Dealers Investment Management, Banking, GRC, Governance, Compliance, AML, Client Management, MiFID II, GDPR, CCPA, Privacy Laws, Reg BI","Information Technology & Services, Computer Software","Private"
"PT Edsen Gudang Komputerindo is a professional and solution-oriented partner. It helps translate business processes into systems with professionalism, experience, and methodology. It specializes in Enterprise Resource Planning, Business Intelligence, Big Data, and Enterprise Performance Management.","Custom Applications, Data Warehouse, Business Intelligence, Enterprise Performance Management","Information Technology & Services","Private"
"Inncircles Technologies Pvt., Ltd. doing business as Inncircles Arena is a construction management software that will help plan, collect, assess, and analyze data at fingertips. It offers application development, mobile services, digital transformation, innovation, technology, artificial intelligence, business, enterprise, digital strategy, product design, platform services, saas solutions, cloud services, integration, data, analytics, UI, UX, and construction management software.","application development, mobile services, digital transformation, innovation, technology, artificial intelligence, business, enterprise, digital strategy, product design, platform services, saas solutions, cloud services, integration, data, analytics, ui, ux, construction management software, artificial inteligence, start up, data & analytics, ui/ux","Computer Software, Internet","Private"
"Mavim B.V. provides business process management software applications. The company offers business help, service management, compliance management, administration/operations management, finance and control, quality assurance, ERP/CRM implementation, process management, and information and communication technology solutions.","enterprise transformation, quality management, business process management, business and IT alignment, business-critical implementations, governance, risk and compliance, information security, portfolio management","Computer Software, Information Technology & Services","Private"
"Field Service Management, Ltd. (FSM) resells and implements service management software solutions in Ireland and the United Kingdom. Its software is implemented on-premise or as a SaaS solution with a scalability that can suit businesses with several engineers through to multinationals with 1000's of engineers.","management consulting, cableinternet, telephoneproviders","Computer Software, Information Technology & Services, Internet","Private Sub"
"Attribute X Solutions Pvt., Ltd. is an EPM and analytics solution provider which combines business knowledge with EPM product expertise to bring integrated planning transformation to the customers. It is the leading global professional services company, providing a broad range of services in connected planning, performance management, RPA, and advanced analytics, with seasoned experts across all of these services.","Sales Planning, EPM, Supply Chain Planning, FP&A, Analytics, Data Integration","Information Services","Private"
"OptimalPlus, Ltd. provides test management and optimization software solutions for delivering test effectiveness to independent device manufacturers, fabless, foundries, and outsourced assembly and test companies. The company offers an optimal enterprise solution suite that delivers a set of applications and capabilities to meet the test management needs of global and/or distributed semiconductor enterprises.","Big Data Analytics, Semiconductor, Electronic, Lifecycle analytics, reliable electronics, product lifecycle, product DNA, Supply chain visibility","Computer Software","Public Sub"
"Fovea Process, Ltd. is a specialist solution editor in business process performance measurement and a consulting firm specializing in Business Intelligence and Enterprise Performance Management solutions. The company makes it possible to pilot, simulate and analyze the relevance of process models. Its ease of deployment, full web operation and mobility through smartphones or tablets make it an ideal platform for management and adopted by IT departments.","business process, business intelligence, enterprise performance management","Information Technology & Services, Management Consulting","Private"
"eSkillz Corp. is a leading provider of Live Support and Performance Support solutions to the federal government and industry. The company's Live Support and Performance Support solutions deliver comprehensive real-time support through the Internet, email, and phone, for online training content libraries, business software applications, website guest traffic, and learning management solutions.","Hcm, Talent Development, Lms, Professional Services, Live Support, Oracle, Cornerstone OnDemand, Sap Successfactors, Performance, Succession, Onboarding, Learning, Recruiting, Course Development, Design, Cloud Suites, Technology, Implementations, Configuration, System Administration, Api, Optimization, Consulting, Dashboards, Reporting, User Experience, Web-conferencing, Gotomeeting, Webex, Adobeconnect, Zoom, Virtual Event Management, Media And Production, Moodle, Blackboard, Saba, Content Libraries, Opensesame, Linkedin Learning, Relias, Captivate, Articulate, And Camtasia","Information Technology & Services, Internet, Computer Software","Private"
"IntelliChief, LLC develops automated enterprise content management technologies. The company, through its Paperless Process Management (PPM) software, offers document managing and processing, automated imaging and scanning, document capture and forms processing, output management, interdepartmental workflow, and mobile integration solutions.","Enterprise Content Management, Business Process Workflow Automation, ERP-Integrated Document Management, Accounts Payable Automation, Document Capture, ECM, AP automation, Sales order automation, OCR, Workflow Automation, Document Management, Multi-ERP Integrations, Enterprise Analytics","Computer Software, Internet","Private"
"CloudApps, Ltd. develops, implements, and maintains a sustainable business model that delivers improvements in efficiency, meets or exceeds environmental objectives, and ensures long-term employee engagement. The company offers a sustainability suite, a cloud-based software solution for sustainability performance management and reporting, energy and carbon management, and employee engagement helping organizations to track, manage, and forecast the progress against corporate sustainability goals in real-time.","Gamification, Game Mechanics, salesforce, sales performance, sales performance insight, business targets, KPIs, sales process, winning sales, pipeline, sales coaching, forecast, AI, Sales effectiveness, Artificial Intelligence, CRM, deep learning, machine learning, churn","Information Technology & Services, Internet","Venture Capital"
"Deposco, Inc. is a cloud-based, omnichannel fulfillment software provider offering a suite of advanced solutions to small, midsize, and enterprise-class businesses. The company offers only an omnichannel fulfillment solution that provides this much actionable insight into both the supply chain and the broader marketplace.","Supply Chain Management Technology, SaaS, Warehouse Management Systems, Inventory Management Systems, Business Intelligence Systems, Cloud Computing, Retail Point of Sale, Sales Order Entry, 3PL Fulfillment, Order Management, DOM, Demand Planning, Supply Chain Analytics","Computer Software, Information Technology & Services, Internet","Venture Capital"
"Cogent Road, Inc. provides enterprise-wide Web-based software applications for the mortgage industry. Its solutions include Funding Suite, a credit report and AVM management solution that offers cost accounting, billing, and payment controls across various geographical locations, AVAIL, an application that helps mortgage originators to manage the mortgage pre-qualifying process for declined loan applicants, Roohmz Mortgage, a workflow automation solution, and Gravity, a mortgage industry CRM, opportunity management, and lead distribution solution.","Credit Reporting Agency, Income Verification Services, Loan Level Fraud verifications, Collateral Valuation Solutions, Identity Verification Services, Title Company, Taxdoor, effortless Tax Transcripts","Internet, Computer Software","Private Sub"
"Single Source Systems, Inc. develops, sells, and supports enterprise and service management software solutions for small-to-mid-sized companies. The Company's service management solutions include Service Management Plus Enterprise, an entire enterprise solution used to manage the core business functions of the organization; SM-PLUS FOR SAGE 500 which manages warranty tracking, incident reporting, resource scheduling, service repair orders, expense tracking/reconciliation, and service contracts; and SM-Plus EAM Edition, a single source enterprise asset maintenance software that speeds the information flow between the enterprise business system and maintenance department to accelerate performance and help organizations.","Infor Service Management, IncentViz, ServiceXtreme for Sage 500, Infor CloudSuite Field Service, Infor CloudSuite Industrial, Syteline, Infor CloudSuite Distribution, Avalara, Altec, SourceDay, Pacejet, Infor CRM, SX.e, Saleslogix, Anytime Collect","Computer Software","Private"
"IntegrityFirst Solutions, LLC provides the enterprise content management (ECM) solution. The company's services can optimize the value of business content to the organization and enable adherence to compliance mandates. It provides enterprise content management solutions for businesses. It offers content management, case management, and document capture and imaging.","consumer electronics, computers, retail","Internet, Computer Software","Private"
"Innomate Pty., Ltd. is a enterprise grade software suite that manages entire IoT ecosystem. It specializes in examining existing digital architecture in relation to organisational needs and then designing, developing and integrating more effective software solutions to fit the enterprise environment.","home automation, commercial automation, crestron, systems engineering, software development, workplace technology, software, middleware, integration","Computer Software","Private"
"IDIT I.D.I. Technologies, Ltd. is a company that provides General Insurance & Non-Life software solutions based on IDIT software suite a SOA-based enterprise insurance software product which integrates the business capabilities essential for any insurance provider. The company's line of business includes developing or modifying computer software and packaging.","insurance software solutions, insurance claims management software, policy administration software, insurance billing, collection software, computer hardware development","Computer Software","Public Sub"
"ZenaPay, Inc. is an enterprise drone technology solution provider that specializes in drone development, payment solutions, plant tracking, hemp business management software, supply chain management, compliance management, and government auditing software. The company currently developing a cannabis tracking and compliance platform for dispensaries, manufacturers, cultivators, and government inspectors. Its initial products currently provide simple solutions for marijuana-related businesses that include tracking plants from seed to sale and processing payments.","Computer Software, Software Development","Computer Software, Internet","Private"
"Grey Matter Software is a boutique software house that offers a wide range of custom, enterprise-grade software solutions for clients in Europe, Asia, and the US. It provides a complete suite of services for software development and application lifecycle management, specializing in project research, scoping, development, and deployment.","Computer Company","Information Technology & Services, Computer Software","Venture Capital"
"Software Techniques, Inc. (STI) provides a full suite of hr software solutions that allow businesses to easily track employee time-off, time-worked, and perform even complex hr tasks easily. The company offers affordable time clock software and attendance tracking software to help manage the clients' workforce. Its customizable and affordable solutions it is easy to see why so many companies trust the exceptional products that are available: Breeze 360, SoftTime, SoftTime Online, TimeKron, and HR Diamond.","Human Resource Solutions, Software, Evidence Control","Internet, Information Technology & Services, Computer Software","Private"
"Legend Software, LLC is a team of business professionals with the experience to create stunning websites, complex software applications, and powerful dashboards & reports. The company offers custom work, consulting, and a suite of prebuilt applications.","Custom Work, Consulting, And A Suite Of Prebuilt Application","Computer Software, Information Technology & Services","Private"
"Market2Lead, Inc. provider of on-demand marketing automation software. The company's software includes Turbo Web2Lead, a solution to manage marketing applications; Professional Suite that integrates the inbound features of Turbo Web2Lead, as well as fuses with email marketing, call scripting, and reporting features; and Enterprise Suite, a marketing automation software.","Marketing Automation Software, Lead Nurturing, Response Management, Qualifying Leads, CRM Integration, Campaign Analytics, Sales And Marketing Alignment, Marketing Operations Services","Internet, Information Technology & Services","Public Sub"
"One, Inc. develops web and cloud-based software products that help property and casualty insurers. The company offers InsureOne, a software suite that offers a policy management system, payment processing system, enterprise efficiency management, agency management, customer relationship management, business intelligence, and reporting, and a marketing representative's management software solution.","Payment Processing, Core Systems For Policy Admin, Underwriting, Billing And Claims Management, Agency Management, Insurance Platform, Insurance Technology, Cloud, Saas Architecture, Insurance Crm, Omni-channel, Insurance Cloud Software, Portals, Policy Admin, Digital Claims Payment Platform, Digital Premiums Payment Platform, Insur Tech, Wholesale","Internet, Information Technology & Services","Private Equity"
"Software Improvement Group B.V. (SIG) is a management consultancy that focuses on software-related challenges. The company provides management with fact-based insight into the current IT situation, along with razor-sharp, pragmatic, and highly actionable recommendations on how to improve that situation. It helps organizations fundamentally improve the security and performance of the enterprise applications that support every aspect by own businesses.","Sigrid – Software Assurance Platform, Software Risk Assessment, IT Due Diligence, Manage technical debt, Certification of Software Maintainability, Security and Privacy Assessment, Software Risk Monitoring and Advisory, Software Assurance for AI, Development Productivity and Efficiency, Measure and Manage Low-Code Development, Software Quality Assurance, SIG Academy, Exit Readiness, Sigrid, Landscape Scan","Information Technology & Services, Computer Software, Internet","Private Equity"
"Rishiraj Media provides building websites, mobile applications, dashboards, and software programs. It also creates bespoke experiences for corporate events and gifting solutions.","digital marketing, website development, it solution, graphic design","Internet, Computer Software","Private"
"Integratelogic, LLC specializes in providing cutting-edge software development solutions for individuals, small businesses, and large corporations. Its services include mobile apps development, web apps development, business scorecard, custom software development, free website builder, and business consulting.","software, mobile apps, consulting, investment banking, asset management","Internet","Private"
"Interval Data Systems, Inc. provides software solutions and services to address energy conservation, operations, and billing problems for large commercial or institutional facilities. The company offers EnergyWitness, an enterprise energy management and facilities data warehouse software suite that enables facilities executives to advance businesses through an information-driven approach.","BAS Automation, Energy Efficiency, Fault Detection and Diagnostics, BAS Automation Commissioning, Monitoring-based Commissioning, ASHRAE Sequences of Operation, ASHRAE 36P, Smart Building Assurance","Computer Software, Information Technology & Services","Private"
"Upside Software, Inc. develops and markets contract lifecycle management solutions worldwide. It also offers UpsideContract, an enterprise-class contract management solution that provides contract lifecycle management functionality, including collaborative contract creation and negotiation, performance, compliance and risk management, and amendment and renewal processing; UpsideContract-LITE that offers companies the ability to purchase only the required functionality; and UpsideLive, a contract management solution for small to mid-size companies.","Computerhardware, Computerhardware&software, Development, Document Conversion, Integration, Project Management, Software, Training","Computer Software, Internet, Information Technology & Services","Private Sub"
"PerformYard, Inc. delivers enterprise sales and talent management software. The company offers to perform yard talent management software, a web-based platform for corporate strategy, goal management, performance reviews and insights, reporting, employee data, documents, links, and announcements. It serves in the United States.","Performance Management, Employee Reviews, Software, SaaS, HR software, Human Resources, Employee Goals, Employee Feedback, Employee Recognition","Internet, Computer Software","Venture Capital"
"ELO Digital Office GmbH develops and sells high-performance software solutions in the areas of electronic document management, digital archiving, and workflow management and covers the entire spectrum of Enterprise Content Management (ECM). The company offers electronic document management, digital archiving, and workflow management covering all areas of Enterprise Content Management (ECM). It develops and distributes high-performance software solutions for document management, digital archiving, and workflow management.","ECM, DMS, Digital Archiving, Records Management, Workflow Management","Computer Software","Private"
"Navagis, Inc. provides the enterprise visualization management suite for visualization and sharing for the telecommunication, utility, agriculture, natural resources, banking and finance, and government and defense sectors. It offers an enterprise visualization management suite, a management system that streamlines the visualization and management of all geo-corporate assets.","Geospatial Software and Services, Google Maps And Google Earth, Google For Work, Enterprise Software, Network Solutions","Internet, Computer Software","Venture Capital"
"Newgen Software Technologies, Ltd. is the provider of a unified digital transformation platform with native process automation, content services, and communication management capabilities. It provides business process management, enterprise content management, and document management systems.","Business Process Transformation, Business Process Management, Customer Communication Management, Workflow Automation, Business Process Automation, Enterprise Content Management, Document Management, Mobile Capture, Case Management, Low Code Automation Platform, Digital Transformation Platform","Computer Software","Public"
"Blue Developments is one of the prominent software companies that help other organizations to transform into digital enterprises. It develops in a constant manner and grow to become a leading performer, in providing quality Web and Software Development solutions in the competitive global marketplace","Strategic Management Services","Internet, Computer Software","Private"
"Bissantz and Co., GmbH is a software enterprise specializing in solutions for demanding data analysis tasks in the field of managerial economics. It specializes in software solutions for analysis, planning, and reporting, and is the maker of the Business Intelligence (BI) suite DeltaMaster.","Business Intelligence, Reporting, Analysis, OLAP, Controlling, Datenanalyse, Big Data, Data Warehouse, Software, Data Mining, Datenvisualisierung, ETL, Data Warehousing","Information Technology & Services, Computer Software","Private"
"Need4Viz SAS is the only software vendor that provides more than 40 charts components for the SAP BI suite. The company's solution builds some real dashboards in Webi and gives existing reports and dashboards a new dimension. Its solution enrich Webi platform, very simply, with several dozens of new charts.","Information services","Information Technology & Services, Internet","Private"
